APAS-TR PPP Solutions 
GPS-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
   54     2023   344          1590.0000       -2713833.4611    5303935.1720   -2269513.5626       2.57725968        2.4484      0.000000       0.000000        0.000000      0.000000       0.000000
   55     2023   344          1620.0000       -2713833.4649    5303935.1712   -2269513.5630       2.92149200        2.4491      0.000000       0.000000        0.000000      0.000000       0.000000
   56     2023   344          1650.0000       -2713833.4683    5303935.1712   -2269513.5629       2.53911567        2.4489      0.000000       0.000000        0.000000      0.000000       0.000000
   57     2023   344          1680.0000       -2713833.4734    5303935.1726   -2269513.5640       2.92909747        2.4488      0.000000       0.000000        0.000000      0.000000       0.000000
   58     2023   344          1710.0000       -2713833.4747    5303935.1734   -2269513.5640       2.73811590        2.4487      0.000000       0.000000        0.000000      0.000000       0.000000
   59     2023   344          1740.0000       -2713833.4743    5303935.1715   -2269513.5633       2.82074380        2.4485      0.000000       0.000000        0.000000      0.000000       0.000000
   60     2023   344          1770.0000       -2713833.4747    5303935.1715   -2269513.5634       2.51930666        2.4484      0.000000       0.000000        0.000000      0.000000       0.000000
   61     2023   344          1800.0000       -2713833.4766    5303935.1716   -2269513.5638       3.18122976        2.4483      0.000000       0.000000        0.000000      0.000000       0.000000
   62     2023   344          1830.0000       -2713833.4768    5303935.1719   -2269513.5644       2.56734465        2.4480      0.000000       0.000000        0.000000      0.000000       0.000000
   63     2023   344          1860.0000       -2713833.4774    5303935.1720   -2269513.5657       2.38194235        2.4478      0.000000       0.000000        0.000000      0.000000       0.000000
   64     2023   344          1890.0000       -2713833.4772    5303935.1718   -2269513.5669       2.47815842        2.4475      0.000000       0.000000        0.000000      0.000000       0.000000
   65     2023   344          1920.0000       -2713833.4784    5303935.1716   -2269513.5681       2.54862690        2.4473      0.000000       0.000000        0.000000      0.000000       0.000000
   66     2023   344          1950.0000       -2713833.4813    5303935.1725   -2269513.5692       2.50828293        2.4472      0.000000       0.000000        0.000000      0.000000       0.000000
   67     2023   344          1980.0000       -2713833.4844    5303935.1734   -2269513.5701       2.49011007        2.4472      0.000000       0.000000        0.000000      0.000000       0.000000
   68     2023   344          2010.0000       -2713833.4879    5303935.1744   -2269513.5709       2.52765687        2.4472      0.000000       0.000000        0.000000      0.000000       0.000000
   69     2023   344          2040.0000       -2713833.4907    5303935.1752   -2269513.5715       3.35183964        2.4473      0.000000       0.000000        0.000000      0.000000       0.000000
   70     2023   344          2070.0000       -2713833.4932    5303935.1750   -2269513.5712       2.28506953        2.4476      0.000000       0.000000        0.000000      0.000000       0.000000
   71     2023   344          2100.0000       -2713833.4951    5303935.1752   -2269513.5711       2.73858616        2.4475      0.000000       0.000000        0.000000      0.000000       0.000000
   72     2023   344          2130.0000       -2713833.4955    5303935.1753   -2269513.5709       2.64139240        2.4474      0.000000       0.000000        0.000000      0.000000       0.000000
   73     2023   344          2160.0000       -2713833.4957    5303935.1751   -2269513.5708       2.87173242        2.4473      0.000000       0.000000        0.000000      0.000000       0.000000
   74     2023   344          2190.0000       -2713833.4979    5303935.1758   -2269513.5714       2.77347904        2.4473      0.000000       0.000000        0.000000      0.000000       0.000000
   75     2023   344          2220.0000       -2713833.4990    5303935.1766   -2269513.5717       2.67031550        2.4473      0.000000       0.000000        0.000000      0.000000       0.000000
   76     2023   344          2250.0000       -2713833.5017    5303935.1771   -2269513.5722       2.62992132        2.4472      0.000000       0.000000        0.000000      0.000000       0.000000
   77     2023   344          2280.0000       -2713833.5034    5303935.1777   -2269513.5723       2.62743560        2.4472      0.000000       0.000000        0.000000      0.000000       0.000000
   78     2023   344          2310.0000       -2713833.5043    5303935.1779   -2269513.5723       2.51651090        2.4470      0.000000       0.000000        0.000000      0.000000       0.000000
   79     2023   344          2340.0000       -2713833.5038    5303935.1777   -2269513.5720       2.48326830        2.4468      0.000000       0.000000        0.000000      0.000000       0.000000
   80     2023   344          2370.0000       -2713833.5041    5303935.1779   -2269513.5719       2.50686837        2.4467      0.000000       0.000000        0.000000      0.000000       0.000000
   81     2023   344          2400.0000       -2713833.5036    5303935.1775   -2269513.5717       2.65955089        2.4466      0.000000       0.000000        0.000000      0.000000       0.000000
   82     2023   344          2430.0000       -2713833.5038    5303935.1777   -2269513.5716       2.44946672        2.4466      0.000000       0.000000        0.000000      0.000000       0.000000
   83     2023   344          2460.0000       -2713833.5033    5303935.1773   -2269513.5715       2.74193024        2.4465      0.000000       0.000000        0.000000      0.000000       0.000000
   84     2023   344          2490.0000       -2713833.5025    5303935.1767   -2269513.5713       2.64303181        2.4465      0.000000       0.000000        0.000000      0.000000       0.000000
   85     2023   344          2520.0000       -2713833.5022    5303935.1764   -2269513.5714       2.34842644        2.4465      0.000000       0.000000        0.000000      0.000000       0.000000
   86     2023   344          2550.0000       -2713833.5028    5303935.1763   -2269513.5716       2.55512500        2.4466      0.000000       0.000000        0.000000      0.000000       0.000000
   87     2023   344          2580.0000       -2713833.5027    5303935.1762   -2269513.5719       2.48799183        2.4469      0.000000       0.000000        0.000000      0.000000       0.000000
