APAS-TR PPP Solutions 
GREC2C3J-  Combination
 Epoch   YEAR    DOY     Sec of GPSweek       X-coordinates   Y-coordinates   Z coordinates      GPS rec clkoff     ZTD         ISB-GLO       ISB-GAL        ISB-BDS2      ISB-BDS3        ISB-J
 1826     2023   344         54750.0000       -2713833.4365    5303935.1022   -2269513.5291       1.50983663        2.3862      5.289340      -1.232506      -13.579016    -13.434933       0.306956
 1827     2023   344         54780.0000       -2713833.4366    5303935.1022   -2269513.5291       1.69478753        2.3862      5.290243      -1.235788      -13.579996    -13.434811       0.307180
 1828     2023   344         54810.0000       -2713833.4366    5303935.1022   -2269513.5291       1.67632233        2.3861      5.284290      -1.233969      -13.579268    -13.435972       0.304721
 1829     2023   344         54840.0000       -2713833.4366    5303935.1022   -2269513.5291       1.72682620        2.3861      5.286151      -1.234917      -13.577163    -13.435191       0.305730
 1830     2023   344         54870.0000       -2713833.4366    5303935.1022   -2269513.5291       1.64622615        2.3858      5.286373      -1.233948      -13.580262    -13.436394       0.309083
 1831     2023   344         54900.0000       -2713833.4366    5303935.1022   -2269513.5291       1.73802848        2.3863      5.282726      -1.235307      -13.575539    -13.434606       0.305072
 1832     2023   344         54930.0000       -2713833.4366    5303935.1022   -2269513.5291       1.49334159        2.3862      5.285265      -1.233580      -13.576232    -13.432862       0.304834
 1833     2023   344         54960.0000       -2713833.4366    5303935.1022   -2269513.5291       1.40789375        2.3863      5.285031      -1.235077      -13.576289    -13.433301       0.304759
 1834     2023   344         54990.0000       -2713833.4366    5303935.1022   -2269513.5291       1.41058522        2.3867      5.283876      -1.235257      -13.574076    -13.433723       0.306914
 1835     2023   344         55020.0000       -2713833.4366    5303935.1022   -2269513.5291       1.37518061        2.3871      5.282408      -1.237542      -13.576165    -13.433660       0.306360
 1836     2023   344         55050.0000       -2713833.4366    5303935.1022   -2269513.5291       1.60569370        2.3875      5.282570      -1.239465      -13.577522    -13.433276       0.306838
 1837     2023   344         55080.0000       -2713833.4366    5303935.1022   -2269513.5291       1.72197513        2.3879      5.277995      -1.235867      -13.576858    -13.434000       0.304344
 1838     2023   344         55110.0000       -2713833.4366    5303935.1022   -2269513.5291       1.25751776        2.3882      5.279335      -1.236274      -13.572069    -13.431761       0.302758
 1839     2023   344         55140.0000       -2713833.4366    5303935.1022   -2269513.5291       1.67649472        2.3885      5.280154      -1.236908      -13.573402    -13.432326       0.305123
 1840     2023   344         55170.0000       -2713833.4366    5303935.1022   -2269513.5291       1.18716496        2.3889      5.277987      -1.235875      -13.575245    -13.431373       0.304563
 1841     2023   344         55200.0000       -2713833.4366    5303935.1022   -2269513.5291       1.28865311        2.3894      5.275532      -1.238166      -13.572579    -13.432394       0.304653
 1842     2023   344         55230.0000       -2713833.4366    5303935.1022   -2269513.5291       1.81471674        2.3894      5.276391      -1.237339      -13.575127    -13.432157       0.303838
 1843     2023   344         55260.0000       -2713833.4366    5303935.1022   -2269513.5291       1.28132735        2.3898      5.279545      -1.236492      -13.573583    -13.429841       0.307008
 1844     2023   344         55290.0000       -2713833.4366    5303935.1022   -2269513.5291       1.24918542        2.3899      5.276425      -1.235790      -13.570333    -13.429059       0.305290
 1845     2023   344         55320.0000       -2713833.4367    5303935.1022   -2269513.5291       1.15635499        2.3902      5.278690      -1.235395      -13.574597    -13.427931       0.305980
 1846     2023   344         55350.0000       -2713833.4367    5303935.1022   -2269513.5291       1.24286312        2.3905      5.278119      -1.234824      -13.571023    -13.427482       0.308710
 1847     2023   344         55380.0000       -2713833.4367    5303935.1022   -2269513.5291       1.27131683        2.3907      5.273074      -1.233606      -13.571781    -13.427158       0.307340
 1848     2023   344         55410.0000       -2713833.4367    5303935.1022   -2269513.5291       1.38003369        2.3912      5.273422      -1.235651      -13.572956    -13.426950       0.307860
 1849     2023   344         55440.0000       -2713833.4367    5303935.1022   -2269513.5291       1.21246330        2.3908      5.271153      -1.237432      -13.573154    -13.428463       0.306147
 1850     2023   344         55470.0000       -2713833.4367    5303935.1022   -2269513.5291       1.32656615        2.3904      5.274607      -1.234585      -13.573536    -13.426354       0.308200
 1851     2023   344         55500.0000       -2713833.4367    5303935.1022   -2269513.5291       1.35404646        2.3898      5.270598      -1.234202      -13.573752    -13.426456       0.307938
 1852     2023   344         55530.0000       -2713833.4367    5303935.1022   -2269513.5291       1.43943100        2.3891      5.268735      -1.236023      -13.573678    -13.428943       0.305875
 1853     2023   344         55560.0000       -2713833.4367    5303935.1022   -2269513.5291       1.06080805        2.3889      5.270299      -1.236794      -13.574027    -13.427493       0.306120
 1854     2023   344         55590.0000       -2713833.4367    5303935.1022   -2269513.5291       0.87604529        2.3888      5.268100      -1.236522      -13.570800    -13.428636       0.307232
 1855     2023   344         55620.0000       -2713833.4367    5303935.1021   -2269513.5291       1.63677085        2.3882      5.264342      -1.238597      -13.572290    -13.428435       0.306546
 1856     2023   344         55650.0000       -2713833.4367    5303935.1021   -2269513.5291       1.27714353        2.3878      5.266951      -1.236969      -13.572333    -13.427977       0.306232
 1857     2023   344         55680.0000       -2713833.4367    5303935.1021   -2269513.5291       0.91314185        2.3879      5.264668      -1.234633      -13.569792    -13.428157       0.306595
 1858     2023   344         55710.0000       -2713833.4367    5303935.1021   -2269513.5291       1.25020529        2.3882      5.264928      -1.234820      -13.569648    -13.426894       0.305810
 1859     2023   344         55740.0000       -2713833.4367    5303935.1021   -2269513.5291       1.37885664        2.3881      5.266173      -1.234720      -13.571213    -13.428273       0.307516
 1860     2023   344         55770.0000       -2713833.4367    5303935.1021   -2269513.5291       1.24168331        2.3876      5.264673      -1.236104      -13.569067    -13.427323       0.310196
 1861     2023   344         55800.0000       -2713833.4367    5303935.1021   -2269513.5291       1.43499846        2.3873      5.262874      -1.234390      -13.570792    -13.426810       0.309266
 1862     2023   344         55830.0000       -2713833.4367    5303935.1021   -2269513.5291       1.22587774        2.3873      5.261377      -1.235911      -13.570662    -13.426768       0.307760
 1863     2023   344         55860.0000       -2713833.4367    5303935.1021   -2269513.5291       1.40970162        2.3871      5.259709      -1.238209      -13.572525    -13.426607       0.305518
 1864     2023   344         55890.0000       -2713833.4367    5303935.1021   -2269513.5291       1.09420288        2.3872      5.262271      -1.235524      -13.568072    -13.423916       0.304261
 1865     2023   344         55920.0000       -2713833.4367    5303935.1021   -2269513.5291       1.00380295        2.3879      5.260813      -1.235061      -13.570510    -13.421712       0.307392
 1866     2023   344         55950.0000       -2713833.4367    5303935.1021   -2269513.5291       1.09514089        2.3880      5.261981      -1.235315      -13.569799    -13.422148       0.307219
 1867     2023   344         55980.0000       -2713833.4367    5303935.1021   -2269513.5291       0.98563036        2.3875      5.262421      -1.235418      -13.569080    -13.423310       0.308646
 1868     2023   344         56010.0000       -2713833.4367    5303935.1021   -2269513.5291       1.16319339        2.3870      5.258220      -1.234001      -13.568679    -13.420387       0.310816
 1869     2023   344         56040.0000       -2713833.4367    5303935.1021   -2269513.5291       0.96840639        2.3863      5.259763      -1.232138      -13.564838    -13.421242       0.308351
 1870     2023   344         56070.0000       -2713833.4367    5303935.1021   -2269513.5291       1.42929747        2.3861      5.260059      -1.235257      -13.568537    -13.422898       0.309131
 1871     2023   344         56100.0000       -2713833.4367    5303935.1021   -2269513.5291       0.86494946        2.3863      5.256463      -1.237098      -13.570727    -13.422256       0.306959
 1872     2023   344         56130.0000       -2713833.4367    5303935.1021   -2269513.5291       1.18594275        2.3865      5.259314      -1.237482      -13.568388    -13.422453       0.308892
 1873     2023   344         56160.0000       -2713833.4367    5303935.1021   -2269513.5291       1.02040776        2.3868      5.257630      -1.236881      -13.566982    -13.420996       0.310631
 1874     2023   344         56190.0000       -2713833.4367    5303935.1021   -2269513.5291       1.10184328        2.3874      5.253232      -1.236153      -13.565571    -13.421015       0.308978
 1875     2023   344         56220.0000       -2713833.4367    5303935.1021   -2269513.5291       1.17174021        2.3875      5.256042      -1.236374      -13.566965    -13.420388       0.308100
 1876     2023   344         56250.0000       -2713833.4367    5303935.1020   -2269513.5291       1.19180442        2.3877      5.254014      -1.236357      -13.565421    -13.421598       0.308084
 1877     2023   344         56280.0000       -2713833.4367    5303935.1020   -2269513.5291       0.82661991        2.3875      5.255171      -1.238980      -13.567953    -13.421654       0.308310
 1878     2023   344         56310.0000       -2713833.4367    5303935.1020   -2269513.5290       1.27183676        2.3871      5.257224      -1.238269      -13.565546    -13.420867       0.308922
 1879     2023   344         56340.0000       -2713833.4367    5303935.1020   -2269513.5290       1.11748355        2.3865      5.252857      -1.237889      -13.569019    -13.422498       0.309943
 1880     2023   344         56370.0000       -2713833.4367    5303935.1020   -2269513.5290       1.10305756        2.3866      5.255835      -1.235370      -13.565457    -13.420650       0.309444
 1881     2023   344         56400.0000       -2713833.4367    5303935.1020   -2269513.5290       1.23045802        2.3868      5.255214      -1.236924      -13.566716    -13.422153       0.311204
 1882     2023   344         56430.0000       -2713833.4367    5303935.1020   -2269513.5290       1.08750952        2.3871      5.253260      -1.236034      -13.567192    -13.420760       0.309423
 1883     2023   344         56460.0000       -2713833.4367    5303935.1020   -2269513.5290       1.00625278        2.3873      5.249681      -1.236335      -13.565556    -13.420517       0.308315
 1884     2023   344         56490.0000       -2713833.4367    5303935.1020   -2269513.5290       1.02747110        2.3874      5.252491      -1.236327      -13.564224    -13.418386       0.309534
 1885     2023   344         56520.0000       -2713833.4367    5303935.1020   -2269513.5290       1.00717482        2.3871      5.252581      -1.237031      -13.567890    -13.418169       0.309684
 1886     2023   344         56550.0000       -2713833.4367    5303935.1020   -2269513.5290       1.10521407        2.3870      5.252558      -1.237104      -13.567420    -13.419250       0.306212
 1887     2023   344         56580.0000       -2713833.4367    5303935.1020   -2269513.5290       0.96132024        2.3865      5.249034      -1.239173      -13.564383    -13.418847       0.308106
 1888     2023   344         56610.0000       -2713833.4367    5303935.1020   -2269513.5290       1.06264565        2.3864      5.248790      -1.240539      -13.566487    -13.420636       0.307972
 1889     2023   344         56640.0000       -2713833.4368    5303935.1020   -2269513.5290       0.84108024        2.3867      5.247223      -1.238183      -13.565319    -13.419707       0.306956
 1890     2023   344         56670.0000       -2713833.4368    5303935.1020   -2269513.5290       0.91074571        2.3865      5.247336      -1.240690      -13.565580    -13.419171       0.306174
 1891     2023   344         56700.0000       -2713833.4368    5303935.1019   -2269513.5290       0.93297060        2.3868      5.249727      -1.242623      -13.567528    -13.420443       0.307001
 1892     2023   344         56730.0000       -2713833.4368    5303935.1019   -2269513.5290       0.86985875        2.3866      5.243721      -1.240527      -13.567699    -13.419060       0.304342
 1893     2023   344         56760.0000       -2713833.4368    5303935.1019   -2269513.5290       1.13858769        2.3862      5.243728      -1.240443      -13.566010    -13.418496       0.308019
 1894     2023   344         56790.0000       -2713833.4368    5303935.1019   -2269513.5290       0.78150988        2.3859      5.244745      -1.242167      -13.566316    -13.419416       0.304312
 1895     2023   344         56820.0000       -2713833.4368    5303935.1019   -2269513.5290       1.25593154        2.3857      5.242115      -1.240494      -13.565539    -13.418805       0.303816
 1896     2023   344         56850.0000       -2713833.4368    5303935.1019   -2269513.5290       1.00968321        2.3856      5.244831      -1.243210      -13.564224    -13.418314       0.306299
 1897     2023   344         56880.0000       -2713833.4368    5303935.1019   -2269513.5290       0.78889607        2.3854      5.241013      -1.241271      -13.566667    -13.417183       0.305212
 1898     2023   344         56910.0000       -2713833.4368    5303935.1019   -2269513.5290       1.13112081        2.3859      5.243557      -1.243425      -13.563274    -13.415408       0.304036
 1899     2023   344         56940.0000       -2713833.4368    5303935.1019   -2269513.5290       1.03063379        2.3855      5.241570      -1.241927      -13.564471    -13.415193       0.302852
 1900     2023   344         56970.0000       -2713833.4368    5303935.1019   -2269513.5290       0.95214279        2.3853      5.245079      -1.240748      -13.562376    -13.413467       0.304888
 1901     2023   344         57000.0000       -2713833.4368    5303935.1019   -2269513.5290       1.14840501        2.3853      5.243003      -1.236713      -13.560549    -13.412926       0.307528
 1902     2023   344         57030.0000       -2713833.4368    5303935.1019   -2269513.5290       0.92790345        2.3849      5.243944      -1.236476      -13.561931    -13.414306       0.306467
 1903     2023   344         57060.0000       -2713833.4368    5303935.1019   -2269513.5290       0.97149408        2.3847      5.239261      -1.237214      -13.564414    -13.416293       0.307606
 1904     2023   344         57090.0000       -2713833.4368    5303935.1019   -2269513.5290       0.90483572        2.3848      5.238053      -1.239595      -13.562367    -13.415238       0.304820
 1905     2023   344         57120.0000       -2713833.4368    5303935.1019   -2269513.5290       0.62137202        2.3844      5.235833      -1.239576      -13.563118    -13.413571       0.306772
 1906     2023   344         57150.0000       -2713833.4368    5303935.1019   -2269513.5290       0.73010881        2.3841      5.237826      -1.242916      -13.564115    -13.415840       0.305789
 1907     2023   344         57180.0000       -2713833.4368    5303935.1019   -2269513.5290       0.87405563        2.3840      5.235883      -1.239552      -13.562870    -13.414919       0.306346
 1908     2023   344         57210.0000       -2713833.4368    5303935.1018   -2269513.5290       0.81610819        2.3839      5.237203      -1.239716      -13.560514    -13.414028       0.305566
 1909     2023   344         57240.0000       -2713833.4368    5303935.1018   -2269513.5290       0.59580010        2.3842      5.238138      -1.238371      -13.560368    -13.413979       0.305914
 1910     2023   344         57270.0000       -2713833.4368    5303935.1018   -2269513.5289       0.61399509        2.3847      5.241757      -1.236298      -13.561369    -13.412443       0.307899
 1911     2023   344         57300.0000       -2713833.4368    5303935.1018   -2269513.5289       0.51070193        2.3843      5.236230      -1.237760      -13.557523    -13.412652       0.308963
 1912     2023   344         57330.0000       -2713833.4368    5303935.1018   -2269513.5289       0.75440364        2.3843      5.232346      -1.239766      -13.561891    -13.413915       0.309985
 1913     2023   344         57360.0000       -2713833.4368    5303935.1018   -2269513.5289       0.78521593        2.3839      5.232145      -1.236321      -13.560421    -13.413692       0.308271
 1914     2023   344         57390.0000       -2713833.4368    5303935.1018   -2269513.5289       0.68488336        2.3843      5.232015      -1.238426      -13.562408    -13.411470       0.310725
 1915     2023   344         57420.0000       -2713833.4368    5303935.1018   -2269513.5289       0.63506740        2.3844      5.236732      -1.235672      -13.561045    -13.411778       0.308721
 1916     2023   344         57450.0000       -2713833.4368    5303935.1018   -2269513.5289       0.78439121        2.3846      5.231469      -1.233659      -13.559688    -13.409621       0.308624
